"screenName","id","time","isRetweet","isPinned","isReplyTo","text","hashtags__hashtag","hashtags__indices__001","hashtags__indices__002","userMentions__screenName","userMentions__indices__001","userMentions__indices__002","urls__url","urls__indices__001","urls__indices__002","images__001","images__002","images__003","images__004","replyCount","retweetCount","favoriteCount","quote__screenName","quote__id","quote__text"
"MarsWxReport","1114530532233236481","2019-04-06T14:09:20.000Z","False","False","False","InSight sol 126 (2019-04-04) low -97.0ºC (-142.7ºF) high -17.0ºC (1.3ºF)\nwinds from the SW at 4.0 m/s (8.8 mph) gusting to 10.7 m/s (23.9 mph)\npressure at 7.30 hPa","","","","","","","","","","https://pbs.twimg.com/media/D3ebnKiW4AAFu6A.jpg","","","","1","6","10","","",""
"MarsWxReport","1114183792577716227","2019-04-05T15:11:31.000Z","False","False","False","InSight sol 125 (2019-04-03) low -97.2ºC (-143.0ºF) high -16.8ºC (1.7ºF)\nwinds from the SW at 4.0 m/s (8.9 mph) gusting to 11.7 m/s (26.2 mph)\npressure at 7.30 hPa","","","","","","","","","","https://pbs.twimg.com/media/D3ZgQQxWwAEuRZH.jpg","","","","0","4","10","","",""
"MarsWxReport","1113942687332356098","2019-04-04T23:13:27.000Z","False","False","False","The @MarsCuriosity captured the Martian moon Phobos as it transits the Sun. \n\nhttps://www.nasa.gov/feature/jpl/curiosity-captured-two-solar-eclipses-on-mars/ …","","","","MarsCuriosity","4","18","https://www.nasa.gov/feature/jpl/curiosity-captured-two-solar-eclipses-on-mars/","78","157","","","","","1","5","31","","",""
"MarsWxReport","1113772523928289282","2019-04-04T11:57:17.000Z","False","False","False","InSight sol 124 (2019-04-02) low -97.9ºC (-144.2ºF) high -16.7ºC (2.0ºF)\nwinds from the SW at 4.0 m/s (9.0 mph) gusting to 11.8 m/s (26.3 mph)\npressure at 7.30 hPa","","","","","","","","","","https://pbs.twimg.com/media/D3TqNQ6XkAAf02Y.jpg","","","","0","10","14","","",""
"MarsWxReport","1113496055323209728","2019-04-03T17:38:42.000Z","False","False","False","Dust collection @NASAInSight’s solar panels, since landing in late November.","","","","NASAInSight","16","28","","","","https://pbs.twimg.com/media/D3PuMVdWkAAnqCw.jpg","","","","14","168","429","","",""
"MarsWxReport","1112352018297950208","2019-03-31T13:52:42.000Z","False","False","False","InSight sol 119 (2019-03-28) low -97.4ºC (-143.3ºF) high -15.0ºC (4.9ºF)\nwinds from the SW at 4.0 m/s (9.0 mph) gusting to 9.9 m/s (22.2 mph)\npressure at 7.30 hPa","","","","","","","","","","https://pbs.twimg.com/media/D2_eQ9sWoAAtBzt.jpg","","","","0","7","27","","",""
"MarsWxReport","1112351959716118529","2019-03-31T13:52:28.000Z","False","False","False","InSight sol 118 (2019-03-27) low -96.3ºC (-141.4ºF) high -16.3ºC (2.7ºF)\nwinds from the WNW at 4.2 m/s (9.3 mph) gusting to 11.5 m/s (25.7 mph)\npressure at 7.30 hPa","","","","","","","","","","","","","","0","8","11","","",""
"MarsWxReport","1112351958835359745","2019-03-31T13:52:28.000Z","False","False","False","InSight sol 117 (2019-03-26) low -107.3ºC (-161.1ºF) high -17.1ºC (1.2ºF)\npressure at 7.30 hPa","","","","","","","","","","","","","","0","2","5","","",""
"MarsWxReport","1112351957975556096","2019-03-31T13:52:27.000Z","False","False","False","InSight sol 116 (2019-03-25) low -96.2ºC (-141.2ºF) high -16.3ºC (2.7ºF)\npressure at 7.20 hPa","","","","","","","","","","","","","","0","2","5","","",""
"MarsWxReport","1110949356402851840","2019-03-27T16:59:01.000Z","False","False","False","InSight sol 115 (2019-03-24) low -96.0ºC (-140.7ºF) high -15.5ºC (4.1ºF)\npressure at 7.30 hPa","","","","","","","","","","https://pbs.twimg.com/media/D2rijSWW0AEd2Fy.jpg","","","","1","4","11","","",""
